,id,node_id,monitor_item,monitor_value,monitor_time
0,1601845,16,temp,6.7,2018-12-18 00:00:00
1,1601846,16,S,26.372,2018-12-18 00:00:00
2,1601847,17,S,29.352,2018-12-18 00:00:00
3,1601848,17,temp,6.7,2018-12-18 00:00:00
4,1601849,18,S,76.821,2018-12-18 00:00:00
5,1601850,18,temp,6.7,2018-12-18 00:00:00
6,1601851,19,S,-64.09,2018-12-18 00:00:00
7,1601852,19,temp,6.7,2018-12-18 00:00:00
8,1601854,75714125,disps,-8.18,2018-12-18 00:00:01
9,1601855,12,temp,6.9,2018-12-18 00:00:00
10,1601856,12,S,33.799,2018-12-18 00:00:00
11,1601857,13,S,-4.2,2018-12-18 00:00:00
12,1601858,13,temp,6.9,2018-12-18 00:00:00
13,1601859,14,S,-10.671,2018-12-18 00:00:00
14,1601860,14,temp,6.9,2018-12-18 00:00:00
15,1601861,15,S,-0.947,2018-12-18 00:00:00
16,1601862,15,temp,6.9,2018-12-18 00:00:00
17,1601863,75714126,disps,-13.062,2018-12-18 00:01:02
18,1601864,75714127,disps,-13.871,2018-12-18 00:01:05
19,1601865,24,S,13.533,2018-12-18 00:00:00
20,1601866,24,temp,6.7,2018-12-18 00:00:00
21,1601867,25,S,1.027,2018-12-18 00:00:00
22,1601868,25,temp,6.7,2018-12-18 00:00:00
23,1601869,26,temp,6.7,2018-12-18 00:00:00
24,1601870,26,S,12.891,2018-12-18 00:00:00
25,1601873,20,S,4.85,2018-12-18 00:00:00
26,1601874,20,temp,6.7,2018-12-18 00:00:00
27,1601875,21,temp,6.7,2018-12-18 00:00:00
28,1601876,21,S,26.037,2018-12-18 00:00:00
29,1601877,22,S,19.951,2018-12-18 00:00:00
30,1601878,22,temp,6.7,2018-12-18 00:00:00
31,1601891,29,air-temp,6.6,2018-12-18 00:03:18
32,1601892,29,humidity,79.6,2018-12-18 00:03:18
33,1601893,29,wind_dir,10.0,2018-12-18 00:03:18
34,1601894,29,wind-dir-v,221.0,2018-12-18 00:03:18
35,1601895,29,wind_speed,0.4,2018-12-18 00:03:18
36,1601896,75714124,disps,-7.865,2018-12-18 00:05:00
37,1601897,75714125,disps,-8.184,2018-12-18 00:05:03
